id,name,date
7034741,Wind and Rain,2019-06-11T15:07:47.973Z
6018446,Reaper,2016-07-15T08:49:47.312Z
7498762,Team Oracle.YOUTH,2020-06-26T05:05:17.405Z
7315071,Holy Knights,2011-09-19T04:01:30.000000Z
7251006,TechPromBiz,2021-02-07T05:35:47.224Z
7851888,CZC.eSuba,2017-11-06T14:13:54.000000Z
7683592,Dunkin Dinkies,2021-10-02T10:52:09.468Z
8599217,Slot Seekers,2017-12-13T02:15:44.000000Z
7469200,Cyber Fox,2017-10-05T22:25:45.761Z
5055701,DoZe Esports,2018-10-12T23:35:17.967Z
7682820,Broccoli Hunters,2016-09-19T06:43:31.401Z
8598999,Coolguys,2011-03-05T06:25:01.000000Z
7558577,minor atendari,2019-05-13T17:13:16.611Z
4424013,Ten Twenty,2021-02-16T17:21:48.080Z
5070043,no team,2018-12-24T04:43:03.305Z
5767709,wolf,2018-08-30T08:28:19.573Z
8091304,SE,2016-12-28T15:20:33.000000Z
2537636,Elements Pro Gaming,2016-12-02T08:12:19.074Z
5216274, Echo.Int,2016-06-28T14:52:37.480Z
8343637,Digital Gaming,2018-02-02T09:55:12.300Z
6352245,Happy Feet,2017-04-18T16:31:46.307Z
7996574,Number1,2016-09-03T10:48:29.598Z
7408091,pandora,2021-04-02T03:20:50.631Z
5167588,Double Dimension,2019-11-07T09:38:49.492Z
8375259,APU King of Kings,2010-12-10T22:05:06.000000Z
7406964,The New Top,2014-07-08T10:48:19.000000Z
8496581,KHAN,2017-10-08T09:55:48.967Z
6820663,aaa,2020-10-06T15:12:50.916Z
6211505,madjor atendari,2017-11-30T14:30:10.033Z
6818714,Cascade Esports,2021-09-17T20:28:28.782Z
8075507,Evil Corporation,2019-05-02T23:44:27.986Z
7683396,No Bounty Hunter,2016-11-07T11:58:11.774Z
8597976,Talon,2014-10-14T16:16:55.000000Z
5766937,2,2021-08-02T12:15:39.632Z
7833289,NGID.M11,2020-08-22T16:16:23.624Z
8014963,Team Toxic,2021-11-29T01:42:53.975Z
7625263,.,2015-09-21T20:52:51.133Z
7683680,Shutdown E-Sports,2017-04-24T07:18:50.000000Z
2786652,Kingdra,2020-12-26T03:55:56.086Z
7542148, EXTREMUM,2012-02-18T14:40:47.000000Z
4591569,Aggressive Slayer,2020-02-20T13:57:02.169Z
7895594,Boomer Hands EC,2020-12-27T01:12:07.247Z
8260932,Black N Yellow,2012-05-24T15:04:36.000000Z
8118375,maZe Esports,2021-09-15T03:32:08.553Z
8520180,.,2019-04-29T12:25:15.637Z
5244665,Cej was right,2019-06-06T19:55:21.930Z
