team_id,user_id,date_joined
7441121,91380904,2019-10-17T22:26:41.828Z
7554328,91443418,2021-10-22T18:52:42.442Z
8591133,91644707,2017-09-12T22:39:56.000000Z
7683797,91932652,2017-02-28T16:36:35.160Z
7684194,92061350,2014-10-14T14:57:12.000000Z
8049504,92071256,2017-06-17T19:14:40.338Z
602634,92214768,2019-08-14T21:07:05.402Z
8599009,92231506,2017-02-24T10:43:30.861Z
7682909,92241448,2011-08-17T02:43:41.000000Z
6212110,92253768,2016-07-14T05:38:04.653Z
7684653,92261128,2011-04-21T05:13:43.000000Z
534136,92367063,2021-03-24T11:59:30.828Z
8598633,92423451,2015-12-27T16:39:29.000000Z
8021531,92477990,2017-08-03T20:44:28.346Z
8606828,92706637,2019-08-22T03:17:41.951Z
46,92847434,2021-05-02T16:11:27.707Z
5015830,93003633,2017-08-27T08:21:19.330Z
8261882,93159453,2021-11-16T23:05:08.547Z
6765751,93317034,2021-08-21T18:33:22.171Z
7422789,93552791,2017-11-18T05:06:59.000000Z
7685057,93761690,2019-09-19T03:31:43.497Z
7483630,93954809,2021-11-15T00:49:27.760Z
7395534,94120026,2016-07-06T11:56:39.000000Z
8214850,94281932,2013-03-24T14:38:58.000000Z
6713506,94338967,2015-09-11T19:40:41.321Z
8272699,94364925,2020-04-08T01:17:18.932Z
7684392,94374420,2015-09-05T20:09:18.000000Z
8261397,94439767,2020-02-02T16:55:46.103Z
7186466,94762375,2016-01-02T19:19:22.923Z
7468679,94923783,2017-08-08T12:06:12.000000Z
7563855,95145869,2021-09-20T04:50:31.234Z
5098014,95804890,2017-12-20T19:32:19.000000Z
7453744,96183976,2012-04-17T06:02:13.000000Z
8262126,96189126,2020-11-02T10:29:10.735Z
7818220,96272499,2020-07-14T08:02:31.111Z
7035729,96384660,2015-07-23T20:23:03.000000Z
8605863,96803083,2017-01-14T15:00:31.844Z
4914765,96817019,2019-09-11T01:21:19.235Z
6074921,97048475,2017-09-12T03:22:55.885Z
